COEFF,DEFINITIONS,UNIT,CATEGORY,SOURCE_FILE,FILE_DESCRIPTION,DSSAT_VERSION
EXPNO,Number of experiments used to estimate cultivar parameters,#,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
EXP#,"Number of experiments,treatments used to estimate coefficients",#,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
ECO#,Code for the ecotype to which this cultivar belongs (see *.eco file),#,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
CSDL,Critical Short Day Length below which reproductive development progresses with no daylength effect (for shortday plants),hour,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PPSEN, Slope of the relative response of development to photoperiod with time (positive for shortday plants),1/hour,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
EM-FL,Time between plant emergence and flower appearance (R1),photothermal days,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
FL-SH,Time between first flower and first pod (R3),photothermal days,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
FL-SD,Time between first flower and first seed (R5),photothermal days,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SD-PM,Time between first seed (R5) and physiological maturity (R7),photothermal days,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
FL-LF,Time between first flower (R1) and end of leaf expansion,photothermal days,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LFMAX,"Maximum leaf photosynthesis rate at 30 C, 350 vpm CO2, and high light",mg CO2/m2-s,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SLAVR,Specific leaf area of cultivar under standard growth conditions,cm2/g,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SIZLF,Maximum size of full leaf (three leaflets),cm2,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
XFRT,Maximum fraction of daily growth that is partitioned to seed + shell,fr,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
