name,data_type,bit_length
ENG_HYD_HDR_SCID,uint,8
ENG_HYD_HDR_FILL1,uint,1
ENG_HYD_HDR_FLASH_BLOCK,uint,15
ENG_HYD_HDR_FILL2,uint,2
ENG_HYD_HDR_TIME_QUALITY,uint,2
ENG_HYD_HDR_USEC,uint,20
ENG_HYD_HDR_SEC,uint,32
HTR_H2O_T0_PHASE,uint,64
HTR_H2O_T0_ERR_FAIL_POWER_ON,uint,32
HTR_H2O_T0_ERR_FAIL_POWER_OFF,uint,32
HTR_H2O_T0_FREQ,uint,32
HTR_H2O_T0_LEVEL,uint,32
HTR_H2O_T0_DUTY_CYCLE,uint,32
HTR_H2O_T0_ENABLED,uint,32
HTR_H2O_T0_ERR_FAIL_READ,uint,32
HTR_EZ_C0_PHASE,uint,64
HTR_EZ_C0_ERR_FAIL_POWER_ON,uint,32
HTR_EZ_C0_ERR_FAIL_POWER_OFF,uint,32
HTR_EZ_C0_FREQ,uint,32
HTR_EZ_C0_LEVEL,uint,32
HTR_EZ_C0_DUTY_CYCLE,uint,32
HTR_EZ_C0_ENABLED,uint,32
HTR_EZ_C0_ERR_FAIL_READ,uint,32
DIO_0_RDIO,uint,32
DIO_1_RDIO,uint,32
TANK_H2_PRESSURE,uint,64
TANK_H2_MAX_PRESSURE,uint,64
TANK_H2_ID,uint,32
TANK_H2_SCALER,uint,64
TANK_H2_OFFSET,uint,64
TANK_O2_PRESSURE,uint,64
TANK_O2_MAX_PRESSURE,uint,64
TANK_O2_ID,uint,32
TANK_O2_SCALER,uint,64
TANK_O2_OFFSET,uint,64
TANK_H2O_1_PRESSURE,uint,64
TANK_H2O_1_MAX_PRESSURE,uint,64
TANK_H2O_1_ID,uint,32
TANK_H2O_1_SCALER,uint,64
TANK_H2O_1_OFFSET,uint,64
TANK_H2O_2_PRESSURE,uint,64
TANK_H2O_2_MAX_PRESSURE,uint,64
TANK_H2O_2_ID,uint,32
TANK_H2O_2_SCALER,uint,64
TANK_H2O_2_OFFSET,uint,64
IGNITER_CHARGED,uint,32
PROPULSION_ERR_ACTUATOR_EN,uint,32
PROPULSION_ERR_SEQ_GEN,uint,32
PROPULSION_ERR_DIO_QUEUE,uint,32
PROPULSION_ERR_INSUF_TIME,uint,32
VLV_H2O_P_PULSE_END,uint,64
VLV_H2O_P_LEVEL,uint,32
VLV_H2O_P_STATUS,uint,32
VLV_H2O_P_ERR_FAIL_READ,uint,32
VLV_H2_PULSE_END,uint,64
VLV_H2_LEVEL,uint,32
VLV_H2_STATUS,uint,32
VLV_H2_ERR_FAIL_READ,uint,32
VLV_O2_PULSE_END,uint,64
VLV_O2_LEVEL,uint,32
VLV_O2_STATUS,uint,32
VLV_O2_ERR_FAIL_READ,uint,32
VLV_H2O_F_1_PULSE_END,uint,64
VLV_H2O_F_1_LEVEL,uint,32
VLV_H2O_F_1_STATUS,uint,32
VLV_H2O_F_1_ERR_FAIL_READ,uint,32
VLV_H2O_F_2_PULSE_END,uint,64
VLV_H2O_F_2_LEVEL,uint,32
VLV_H2O_F_2_STATUS,uint,32
VLV_H2O_F_2_ERR_FAIL_READ,uint,32
EZCELL_CURRENT_AVG,uint,64
EZCELL_AUX_TEMP,uint,64
EZCELL_ERR_FAIL_POWER_OFF,uint,32
EZCELL_CURRENT,uint,64
EZCELL_STATUS,uint,32
EZCELL_ERR_OVER_TEMP,uint,32
EZCELL_ERR_FAIL_POWER_ON,uint,32
EZCELL_TEMP,uint,64
EZCELL_WRN_UNDER_CURR,uint,32
EZCELL_POWER,uint,64
EZCELL_VOLTAGE_SETPOINT,uint,64
EZCELL_ERR_UNDER_TEMP,uint,32
EZCELL_ERR_OVER_CURR,uint,32
EZCELL_ERR_FAIL_READ,uint,32
SYSTIME_SECONDS,uint,32
SYSTIME_SYNC_STATE,uint,160
SYSTIME_SYNC_BIAS,uint,64
SYSTIME_SYNC_ERROR,uint,64
SYSTIME_SUB_SECONDS,uint,64
TEMP_SENS_EZ_C0_CAL_OFFSET,uint,64
TEMP_SENS_EZ_C0_TEMP,uint,64
TEMP_SENS_EZ_C0_AUX_CAL_OFFSET,uint,64
TEMP_SENS_EZ_C0_AUX_TEMP,uint,64
PWR_SNSR_0_NAME,uint,160
PWR_SNSR_0_POWER,uint,64
PWR_SNSR_0_NUMBER,uint,32
PWR_SNSR_0_CURRENT,uint,64
PWR_SNSR_0_VOLTAGE,uint,64
PWR_SNSR_0_SENSOR_COUNT,uint,32
PWR_SNSR_1_NAME,uint,160
PWR_SNSR_1_POWER,uint,64
PWR_SNSR_1_NUMBER,uint,32
PWR_SNSR_1_CURRENT,uint,64
PWR_SNSR_1_VOLTAGE,uint,64
PWR_SNSR_1_SENSOR_COUNT,uint,32
PWR_SNSR_2_NAME,uint,160
PWR_SNSR_2_POWER,uint,64
PWR_SNSR_2_NUMBER,uint,32
PWR_SNSR_2_CURRENT,uint,64
PWR_SNSR_2_VOLTAGE,uint,64
PWR_SNSR_2_SENSOR_COUNT,uint,32
PWR_SNSR_3_NAME,uint,160
PWR_SNSR_3_POWER,uint,64
PWR_SNSR_3_NUMBER,uint,32
PWR_SNSR_3_CURRENT,uint,64
PWR_SNSR_3_VOLTAGE,uint,64
PWR_SNSR_3_SENSOR_COUNT,uint,32
ENG_HYD_PADDING,uint,16
ENG_HYD_CKSUM,uint,16
